zircon,206Pb/238U,206Pb/238U_2sigma,207Pb/235U,207Pb/235U_2sigma,207Pb/206Pb,207Pb/206Pb_2sigma,corr_coeff,perc_disc,include
z1      ,821.21,1.47,822.12,2.3,824.6,6.7,0.66,0.41,yes
z2      ,817.35,0.74,819.64,1.4,825.8,4.2,0.69,1.03,no
z3      ,847.3,5.5,843.15,14.9,832.2,48.4,0.53,-1.81,no
