zircon,206Pb/238U,206Pb/238U_2sigma,207Pb/235U,207Pb/235U_2sigma,207Pb/206Pb,207Pb/206Pb_2sigma,include
z7       ,717.8852443,0.743011843,717.7975913,0.743067364,727.3042336,16.07552535,no
z2       ,719.3082225,0.784597496,719.2169747,0.784657982,734.7681085,16.68587017,yes
z23      ,719.7415425,1.283782231,719.65459,1.283802901,725.9434792,4.548300421,yes
z4       ,719.9594156,1.038335285,719.8737754,1.038417884,731.1533389,23.13232612,yes
z22      ,723.2717171,1.519248111,723.1844639,1.519277656,731.1557892,12.55637134,no
z3       ,725.0400186,1.152724149,724.9526396,1.152875664,734.3991414,33.40650828,no
z6       ,756.0138756,0.732433576,755.9308087,0.732443382,758.1168415,6.668751855,no
z11      ,757.1483609,1.209960007,757.0614918,1.210013352,751.3371473,15.49830201,no
z5       ,778.1508877,0.541988778,778.0658309,0.541997664,777.7973147,5.434576223,no
z13      ,800.1090122,1.527348788,800.0303028,1.527411789,821.7578616,21.7783662,no
z8       ,801.3136999,1.586260786,801.2289703,1.586465608,789.840106,41.91240741,no
