zircon,206Pb/238U,206Pb/238U_2sigma,207Pb/235U,207Pb/235U_2sigma,207Pb/206Pb,207Pb/206Pb_2sigma,corr_coeff,perc_disc,include
z1      ,797.16,0.91,798.91,3.3,804,11.8,0.34,0.87,no
z2      ,818.78,1.15,821.67,4.9,829.7,17.8,0.23,1.33,no
z3      ,834.23,0.77,835.96,2.1,840.8,7.1,0.44,0.79,no
z4,794.2,0.66,795.71,2.4,800.2,8.9,0.25,0.75,yes
z5,809.49,0.92,812.84,3.3,822.2,11.8,0.36,1.55,no
z6,831.62,0.73,833.11,1.8,837.3,6.2,0.42,0.69,no
