zircon,206Pb/238U,206Pb/238U_2sigma,207Pb/235U,207Pb/235U_2sigma,207Pb/206Pb,207Pb/206Pb_2sigma,corr_coeff,perc_disc,include
z1      ,793.59,1.04,792.63,4.6,790.1,17.3,0.22,-0.43,no
z2      ,816.02,0.41,816.79,1,819.1,3.9,0.11,0.38,no
z3      ,775.23,0.51,775.84,1.3,777.8,4.7,0.45,0.34,no
z4,812.48,0.85,814.16,3.9,818.9,14.3,0.2,0.8,no
z5,817.5,1.25,818.21,5.8,820.3,21.1,0.19,0.36,no
z6,791.92,1.88,791.04,5,788.8,17.2,0.45,-0.39,no
z7,787.98,0.65,788.43,1.6,789.9,5.9,0.27,0.26,no
z8,776.9,0.78,777.73,2.4,780.4,8.7,0.38,0.46,yes
z9,784.11,0.23,784.6,0.4,786.2,1.5,0.45,0.28,no
