zircon,206Pb/238U,206Pb/238U_2sigma,207Pb/235U,207Pb/235U_2sigma,207Pb/206Pb,207Pb/206Pb_2sigma,corr_coeff,perc_disc,include
z2      ,822.49,0.71,819.07,1.26,809.8,3.2,0.85,-1.53,no
z1      ,823.31,1.07,823.43,2.61,823.76,8.55,0.51,0.1,yes
z16     ,831.24,0.74,832.22,1.64,834.86,4.89,0.69,0.47,no
z19     ,832.98,0.69,833.16,1.06,833.64,2.36,0.9,0.12,no
z5      ,834.19,1.29,825.99,5.72,803.99,20.17,0.37,-3.72,no
z4      ,836.29,1.48,828.2,6.1,806.54,21.58,0.33,-3.65,no
z17     ,855.05,0.73,855.83,1.17,857.86,2.59,0.92,0.36,no
