zircon,207Pb/206Pb,207Pb/206Pb_2sigma,207Pb/235U,207Pb/235U_2sigma,206Pb/238U,206Pb/238U_2sigma,sample,include
z4(180),718.96,1.49,718.17,0.68,717.92,0.45,F917-1,no
z12(205),720.29,4.66,718.06,1.39,717.35,0.59,F917-1,yes
z3(181),718.49,1.46,717.5,0.67,717.19,0.44,F917-1,yes
z9a(178),718.12,6.18,717.39,1.9,717.16,1.12,F917-1,yes
z9b(178),719.3,2.58,717.49,0.91,716.91,0.57,F917-1,yes
z17(228),717.28,2.22,716.68,0.82,716.49,0.48,F917-1,yes
z11(182),719.61,4.61,717.19,1.47,716.41,0.88,F917-1,yes
z2(184),717.74,1.44,716.18,0.66,715.68,0.44,F917-1,no
z15(213),709.85,11.41,714.11,3.11,715.47,1.06,F917-1,no
z16(226),714.75,2.39,713.57,0.85,713.19,0.49,F917-1,no
z5(179),717.75,1.45,713.89,0.67,712.67,0.44,F917-1,no
z6(177),716.13,1.8,713.48,0.73,712.64,0.44,F917-1,no
z8(175),717.19,1.53,710.43,0.67,708.3,0.43,F917-1,no
z14(225),720.3,4.84,710.31,1.41,707.16,0.62,F917-1,no
z13(214),713.92,2.4,704.74,0.84,701.86,0.45,F917-1,no
z1(186),715.44,1.53,704.81,0.68,701.48,0.43,F917-1,no
z1(217),719.29,1.92,718.16,0.75,717.79,0.45,F837C,yes
z2(219),721.55,1.75,718.54,0.73,717.57,0.47,F837C,yes
z4(222),721.88,2.85,718.53,1.33,717.46,1.32,F837C,yes
z3(220),721.87,2.85,717.49,0.97,716.09,0.54,F837C,no
z2(204),719.43,1.73,719.86,0.72,720,0.45,F837A,no
z4(193),719.13,1.44,719.63,0.71,719.79,0.5,F837A,no
z1(205),717.74,3.24,719.27,1.07,719.76,0.48,F837A,no
z6(195),718.27,1.54,718.83,0.7,719.01,0.48,F837A,no
z5(194),717.34,2.21,718.53,0.82,718.91,0.47,F837A,no
z7(203),717.93,1.45,718.03,0.66,718.05,0.45,F837A,yes
z8(202),721.74,1.83,718.87,0.77,717.95,0.53,F837A,yes
z3(192),717.86,2.46,717.74,0.89,717.7,0.46,F837A,yes
z9(207),720.76,2.06,718.42,0.8,717.67,0.5,F837A,yes
z3,714.96,5.26,717.6,1.57,718.44,0.69,15PM06,yes
z5,717.02,1.82,717.88,0.77,718.16,0.51,15PM06,yes
z2,715.31,2.64,717.42,0.93,718.09,0.53,15PM06,yes
z1,718.69,2.46,718.14,0.93,717.96,0.54,15PM06,yes
z6,717.36,2.03,717.31,0.79,717.29,0.49,15PM06,no
z3,719.62,2.28,718.71,0.86,718.42,0.51,15PM08,yes
z6,717.63,3.65,718.17,1.14,718.34,0.54,15PM08,yes
z5,720.71,2.51,718.86,0.9,718.26,0.53,15PM08,yes
z1,719.57,2.77,718.44,0.96,718.07,0.52,15PM08,yes
z2,719.4,1.97,718.22,0.8,717.84,0.53,15PM08,yes
z4,719.73,1.48,718.3,0.68,717.84,0.47,15PM08,yes
