zircon,207Pb/206Pb,207Pb/206Pb_2sigma,207Pb/235U,207Pb/235U_2sigma,206Pb/238U,206Pb/238U_2sigma,include
z7,725.89,2.59,724.24,0.95,723.7,0.57,no
z5,732.1,2.22,725.52,0.83,723.39,0.49,no
z8,720.84,6.85,720.27,2,720.08,0.98,yes
z6,725.21,3.07,720.93,1.04,719.56,0.61,yes
z4,721.56,5.84,720.05,1.69,719.56,0.71,yes
z1,719.37,3.16,719.44,1.07,719.46,0.64,yes
z2,722.92,2.46,720.19,1.13,719.32,1.07,yes
z3,724.99,2.79,720.59,0.96,719.18,0.56,yes
