Region,Formation/,Sample,Latitude,Longitude,Rock type,Isotopic a,Error,Error/2,Technique,Reference,plate_id
NW Greenland,Thule,TD,76.838844,-70.257856,Dyke,718,0.8,0.4,Z,Durfour et al. (in press),102
NW Greenland,Steensby Land,SLSC,76.546944,-68.535811,Sill,718.9,0.3,0.15,Z,Durfour et al. (in press),102
